STNAME,stabrv,Overall Rank, Index: White Men vs. Everyone ,White Men (% of all elected),White Women (% of all elected),Men of Color (% of all elected),Women of Color (% of all elected),White Men (% of population),White Women (% of population),Men of Color (% of population),Women of Color (% of population),Men Elected,Women Elected,Men pop,Women pop,White elected,Elected of Color,White pop,Pop of Color
oklahoma,OK,21, 3.42 ,54%,39%,4%,3%,33%,34%,16%,16%,70%,42%,50%,51%,93%,7%,68%,33%
iowa,IA,22, 3.47 ,64%,29%,3%,3%,43%,44%,6%,6%,71%,33%,50%,50%,94%,6%,88%,12%
west virginia,WV,23, 3.52 ,66%,28%,5%,2%,46%,47%,4%,4%,69%,30%,49%,51%,93%,7%,93%,7%
idaho,ID,24, 3.55 ,64%,29%,6%,2%,41%,42%,9%,8%,72%,31%,50%,50%,93%,8%,83%,17%
florida,FL,25, 3.55 ,61%,25%,9%,5%,28%,29%,21%,22%,82%,30%,49%,51%,86%,14%,57%,44%
washington,WA,26, 3.63 ,60%,31%,6%,3%,35%,36%,15%,14%,74%,34%,50%,50%,91%,9%,71%,29%
colorado,CO,27, 3.65 ,55%,31%,9%,6%,35%,35%,16%,15%,70%,37%,50%,50%,85%,15%,69%,31%
missouri,MO,28, 3.70 ,56%,36%,5%,3%,40%,41%,10%,10%,65%,40%,49%,51%,92%,8%,80%,20%
mississippi,MS,29, 3.73 ,41%,17%,24%,18%,28%,29%,20%,22%,62%,35%,49%,51%,58%,42%,58%,43%
vermont,VT,30, 3.92 ,59%,35%,5%,2%,46%,48%,3%,3%,62%,36%,49%,51%,93%,7%,94%,6%
tennessee,TN,31, 3.92 ,71%,20%,6%,2%,37%,38%,12%,13%,84%,23%,49%,51%,92%,8%,75%,25%
hawaii,HI,32, 4.13 ,24%,11%,45%,21%,13%,10%,38%,39%,61%,32%,51%,49%,34%,66%,23%,77%
pennsylvania,PA,33, 4.41 ,63%,27%,7%,4%,38%,40%,11%,11%,73%,31%,49%,51%,90%,10%,78%,22%
ohio,OH,34, 4.48 ,67%,24%,6%,3%,39%,41%,10%,10%,76%,27%,49%,51%,91%,9%,80%,20%
kansas,KS,35, 4.62 ,57%,35%,5%,3%,38%,39%,12%,11%,69%,38%,50%,50%,92%,8%,77%,23%
rhode island,RI,36, 4.71 ,65%,25%,9%,2%,36%,39%,12%,13%,77%,27%,48%,52%,89%,11%,75%,25%
nebraska,NE,37, 4.96 ,60%,33%,4%,3%,40%,41%,10%,9%,70%,36%,50%,50%,93%,7%,81%,19%
alabama,AL,38, 5.27 ,64%,13%,17%,6%,33%,34%,16%,18%,80%,19%,49%,52%,77%,23%,66%,34%
alaska,AK,39, 5.33 ,60%,25%,13%,2%,33%,29%,19%,18%,79%,27%,53%,48%,85%,15%,63%,38%
arkansas,AR,40, 5.57 ,61%,25%,9%,5%,36%,38%,13%,13%,74%,31%,49%,51%,86%,14%,74%,26%
arizona,AZ,41, 5.71 ,47%,27%,15%,10%,28%,29%,22%,22%,69%,38%,50%,50%,75%,25%,57%,43%
south carolina,SC,42, 5.89 ,57%,17%,18%,7%,31%,33%,17%,19%,75%,24%,49%,51%,74%,26%,64%,36%
maryland,MD,43, 5.92 ,57%,16%,17%,10%,26%,27%,22%,24%,80%,26%,49%,52%,73%,27%,53%,47%
new york,NY,44, 6.11 ,71%,17%,9%,3%,28%,29%,21%,22%,92%,20%,49%,51%,88%,12%,57%,43%
kentucky,KY,45, 6.27 ,79%,16%,4%,1%,42%,44%,7%,7%,86%,17%,49%,51%,95%,5%,86%,14%
texas,TX,46, 6.31 ,49%,22%,19%,11%,22%,22%,28%,28%,76%,33%,50%,50%,71%,30%,44%,56%
utah,UT,47, 6.33 ,71%,23%,4%,2%,40%,40%,10%,10%,81%,25%,50%,50%,94%,7%,80%,20%
virginia,VA,48, 7.11 ,60%,22%,11%,7%,31%,32%,18%,19%,78%,28%,49%,51%,82%,18%,64%,36%
louisiana,LA,49, 7.50 ,72%,8%,15%,5%,29%,30%,20%,21%,92%,12%,49%,51%,80%,20%,60%,40%
delaware,DE,50, 7.67 ,69%,20%,8%,3%,31%,33%,17%,19%,86%,23%,48%,52%,89%,11%,64%,36%
georgia,GA,51, 9.55 ,56%,23%,14%,7%,27%,28%,22%,23%,78%,30%,49%,51%,79%,21%,55%,45%
